MKL04Z32_TQFP32,,,,
Pin,Name,Side,Unit,Type
1,PTB6,right,gpio,io
2,PTB7,right,gpio,io
3,VDD,top,power,power_in
4,VREFH,top,power,power_in
5,VREFL,bottom,power,power_in
6,VSS,bottom,power,power_in
7,PTA3,left,gpio,io
8,PTA4,left,gpio,io
9,PTA5,left,gpio,io
10,PTA6,left,gpio,io
11,PTB8,right,gpio,io
12,PTB9,right,gpio,io
13,PTB10,right,gpio,io
14,PTB11,right,gpio,io
15,PTA7,left,gpio,io
16,PTB0,right,gpio,io
17,PTB1,right,gpio,io
18,PTB2,right,gpio,io
19,PTA8,left,gpio,io
20,PTA9,left,gpio,io
21,PTA10,left,gpio,io
22,PTA11,left,gpio,io
23,PTB3,right,gpio,io
24,PTB4,right,gpio,io
25,PTB5,right,gpio,io
26,PTA12,left,gpio,io
27,PTA13,left,gpio,io
28,PTB12,right,gpio,io
29,PTB13,right,gpio,io
30,PTA0,left,gpio,io
31,PTA1,left,gpio,io
32,PTA2,left,gpio,io
