mk20dx256vlh7,,,,
Pin,Name,Type,Unit,Side
1,PTE0,io,GPIO,top
2,PTE1,io,GPIO,top
3,VDD,power_in,Power,top
4,VSS,power_in,Power,bottom
5,USB_DP,io,Other,left
6,USB_DM,io,Other,left
7,VOUT33,power_in,Power,right
8,VREGIN,power_in,Power,left
9,PGA0_DP,io,GPIO,top
10,PGA0_DM,io,GPIO,top
11,PGA1_DP,io,GPIO,top
12,PGA1_DM,io,GPIO,top
13,VDDA,power_in,Power,top
14,VREFH,power_in,Power,top
15,VREFL,power_in,Power,bottom
16,VSSA,power_in,Power,bottom
17,VREF_OUT,power_out,Power,right
18,DCA0_OUT,io,GPIO,top
19,XTAL32,pass,Other,right
20,EXTAL32,pass,Other,right
21,VBAT,power_in,Power,top
22,PTA0,io,GPIO,left
23,PTA1,io,GPIO,left
24,PTA2,io,GPIO,left
25,PTA3,io,GPIO,left
26,PTA4,io,GPIO,left
27,PTA5,io,GPIO,left
28,PTA12,io,GPIO,left
29,PTA13,io,GPIO,left
30,VDD,power_in,Power,top
31,VSS,power_in,Power,bottom
32,PTA18,io,GPIO,left
33,PTA19,io,GPIO,left
34,RESET_b,in,Other,right
35,PTB0,io,GPIO,left
36,PTB1,io,GPIO,left
37,PTB2,io,GPIO,left
38,PTB3,io,GPIO,left
39,PTB16,io,GPIO,left
40,PTB17,io,GPIO,left
41,PTB18,io,GPIO,left
42,PTB19,io,GPIO,left
43,PTC0,io,GPIO,right
44,PTC1,io,GPIO,right
45,PTC2,io,GPIO,right
46,PTC3,io,GPIO,right
47,VSS,power_in,Power,bottom
48,VDD,power_in,Power,top
49,PTC4,io,GPIO,right
50,PTC5,io,GPIO,right
51,PTC6,io,GPIO,right
52,PTC7,io,GPIO,right
53,PTC8,io,GPIO,right
54,PTC9,io,GPIO,right
55,PTC10,io,GPIO,right
56,PTC11,io,GPIO,right
57,PTD0,io,GPIO,right
58,PTD1,io,GPIO,right
59,PTD2,io,GPIO,right
60,PTD3,io,GPIO,right
61,PTD4,io,GPIO,right
62,PTD5,io,GPIO,right
63,PTD6,io,GPIO,right
64,PTD7,io,GPIO,right
